FPS,Specialty,Practice
4,R/D,Yes
4,R/C,Yes
4,R/C,Yes
4,R/D,Yes
4,R/C,No
4,R/D,Yes
4,R/C,Yes
4,R/D,Yes
4,R/D,No
4,P/D,Yes
4,Gamer,Yes
